system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m,gfw_integrated_alert_b1,gfw_integrated_alert_present,district,split,label_std,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
0000000000000000023e,0.0,563.0,0.4271854673099651,9.0,33.0,"{""type"":""Point"",""coordinates"":[108.55781844387694,14.141459307866656]}",108.55781844387694,14.141459307866656,213.47375368048213,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000257,0.0,756.0,0.4184371507044381,9.0,60.0,"{""type"":""Point"",""coordinates"":[108.61710665148355,14.283749222482115]}",108.61710665148355,14.283749222482117,485.7239769638375,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000386,0.0,849.0,0.333306040134754,10.0,37.0,"{""type"":""Point"",""coordinates"":[108.56482815073296,14.4300880008541]}",108.56482815073296,14.4300880008541,277.4035391710117,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000040f,0.0,806.0,0.0673805524980796,11.0,48.0,"{""type"":""Point"",""coordinates"":[108.47966823881426,14.281863022736507]}",108.47966823881426,14.281863022736507,1994.2067932017649,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000340,0.0,537.0,0.241277477409976,12.0,64.0,"{""type"":""Point"",""coordinates"":[108.52628814032803,14.14388505883973]}",108.52628814032803,14.14388505883973,676.0833995502969,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000455,0.0,623.0,0.7649979092118655,13.0,73.0,"{""type"":""Point"",""coordinates"":[108.49421828555164,14.046324386891385]}",108.49421828555164,14.046324386891383,929.2769077951992,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000004b3,0.0,978.0,0.0672266252349544,13.0,31.0,"{""type"":""Point"",""coordinates"":[108.47346562924889,14.0695027941672]}",108.47346562924888,14.0695027941672,3875.785605822196,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000047,0.0,666.0,0.6296326301587121,14.0,99.0,"{""type"":""Point"",""coordinates"":[108.5564717953588,14.225000566102965]}",108.5564717953588,14.225000566102963,131.35854383808922,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000053,0.0,855.0,0.3892402434442654,14.0,99.0,"{""type"":""Point"",""coordinates"":[108.38857772249446,14.190504960353508]}",108.38857772249446,14.190504960353508,6495.555490917241,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000001a6,0.0,897.0,0.3278102784847426,14.0,43.0,"{""type"":""Point"",""coordinates"":[108.32605220752305,14.361364335418392]}",108.32605220752303,14.361364335418392,780.0706238166753,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000403,0.0,559.0,0.7510473126460979,15.0,70.0,"{""type"":""Point"",""coordinates"":[108.56725390170602,14.133642503719964]}",108.56725390170602,14.133642503719964,487.6767487145448,0.0,0,KBang,train,0,,,,,,,,,,
