system:index,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label,rand,slope,.geo,lon,lat,dist_to_nearest_road_m
0000000000000000003d,3128.0,1784.0,692.0,942.0,1014.0,3083.0,0.26689953,0.5050037,794,0,0.6988809291214697,6.0300503,"{""type"":""Point"",""coordinates"":[108.34719726471847,14.124884829250997]}",108.34719726471847,14.124884829250997,56.241822641858676
000000000000000002e3,2098.0,1030.0,375.0,614.0,363.0,3547.0,0.54992354,0.81432223,794,0,0.2161407575409022,7.8235765,"{""type"":""Point"",""coordinates"":[108.35393496641024,14.114374728068029]}",108.35393496641024,14.114374728068029,55.250110359387996
000000000000000000ce,2209.5,1090.0,405.0,639.5,494.0,3220.5,0.4942582,0.73401535,795,0,0.0102815859446407,7.0609927,"{""type"":""Point"",""coordinates"":[108.33102856429868,13.882608491714121]}",108.33102856429868,13.882608491714121,1328.4530911305608
000000000000000001fa,2614.5,1350.5,398.0,650.0,525.5,3359.0,0.4264784,0.72943753,795,0,0.7820505200877677,12.902158,"{""type"":""Point"",""coordinates"":[108.29653295854924,13.919262302373445]}",108.29653295854924,13.919262302373445,817.5189874056495
0000000000000000027e,2588.0,1631.0,544.0,753.0,866.0,2546.0,0.21905674,0.49237984,795,0,0.1253813490939269,11.319502,"{""type"":""Point"",""coordinates"":[108.31000836193274,13.969654603378439]}",108.31000836193274,13.969654603378439,616.0984731485886
000000000000000001bb,2133.0,1638.0,493.5,711.0,974.0,1992.5,0.097644955,0.3433339,796,0,0.572313028974689,6.0071163,"{""type"":""Point"",""coordinates"":[108.38250442685967,14.058591373889417]}",108.38250442685967,14.058591373889417,270.20241709903297
0000000000000000000d,1683.5,782.0,344.0,531.5,302.0,3038.5,0.5906295,0.8191888,797,0,0.0833593856846257,11.014705,"{""type"":""Point"",""coordinates"":[108.37792047097672,14.055354066524613]}",108.37792047097672,14.055354066524613,76.66870834345882
00000000000000000203,2204.0,1223.5,444.0,645.5,485.0,3478.0,0.4795278,0.7552359,797,0,0.0019787900185442,18.462454,"{""type"":""Point"",""coordinates"":[108.32563751112505,13.866707337357534]}",108.32563751112505,13.866707337357534,2444.526262299321
00000000000000000067,1894.0,897.0,372.0,548.0,495.0,2911.0,0.52888656,0.70933646,801,0,0.5165302165928766,11.937962,"{""type"":""Point"",""coordinates"":[108.34396441645472,14.13000387726035]}",108.34396441645472,14.13000387726035,434.1531174715393
00000000000000000080,3194.0,1936.0,632.0,870.0,982.0,2852.0,0.19131161,0.48774126,801,0,0.6635462611746862,5.988228,"{""type"":""Point"",""coordinates"":[108.31054791316019,13.969926608542696]}",108.31054791316019,13.969926608542696,594.7722226464856
