grid_id,x_utm,y_utm,centroid_lon,centroid_lat,dist_to_nearest_road_m
kbang_00000,855853.282103996,1592886.5751872277,108.29918286489452,14.385299172850102,3231.573361633301
kbang_00001,855841.1253458743,1593520.2605602664,108.29915434726126,14.391020788381581,3279.6754955705865
kbang_00002,855662.4955531203,1594622.5134504978,108.29764637394344,14.40099352307596,3583.6763160835576
kbang_00003,855615.7663226366,1595567.3056804785,108.2973390288985,14.409527861622683,3832.44753443685
kbang_00004,855789.0084735699,1596253.5864470475,108.29903466042684,14.415700226733557,3748.58471699362
kbang_00005,856982.4718813058,1587164.885432329,108.30887967301999,14.333505788285079,2191.760661403238
kbang_00006,856975.8313575537,1589838.8254808828,108.30917285061095,14.357643160751286,2173.2820322661573
kbang_00007,856897.1375843295,1590363.6142059886,108.30851389051816,14.362390384911292,2386.705800965919
kbang_00008,856908.5643212312,1591696.2417753325,108.3087967230096,14.374417946001259,2274.388731779582
kbang_00009,856617.1601068755,1592419.8441633014,108.30619451650851,14.380987335208555,2536.62566960489
kbang_00010,856500.0,1593500.0,108.30525313255251,14.390752616558434,2626.7048350799814
kbang_00011,856500.0,1594500.0,108.30538609810418,14.399779185288418,2738.8777888875115
kbang_00012,856500.0,1595500.0,108.3055191559648,14.408805745933305,2984.7984166406445
kbang_00013,856500.0,1596328.7704685288,108.30562950035603,14.416286686697719,3054.395288123662
kbang_00014,856896.8057446616,1597357.8490724512,108.30944174978958,14.4255241423147,2982.480318617202
kbang_00015,857852.1629246866,1582543.7983142454,108.3163184113562,14.291680916206083,4249.3323161141925
kbang_00016,857684.8501220652,1583613.2135580855,108.31491130668181,14.301355651721268,3320.9925074947155
kbang_00017,857704.8198995646,1584555.718374274,108.31522103712265,14.309860636107576,2493.4491005904183
kbang_00018,857785.5150622228,1585355.6743652322,108.31607411021899,14.317071034878014,1830.8661699089394
kbang_00019,857666.1487192251,1586599.040634376,108.31513404078129,14.328309759304231,1448.8150049001342
kbang_00020,857553.8591837554,1587483.6022442803,108.31421188360366,14.336308813952748,1738.827402786707
kbang_00021,857643.6416958121,1588304.63980767,108.31515215208158,14.343708304527075,1464.7196824389646
kbang_00022,857550.8079809637,1589338.8254808828,108.31443007977141,14.3530554273811,1580.4469791108245
kbang_00023,857500.0,1590500.0,108.31411404827959,14.363543372540265,1840.263804330452
kbang_00024,857500.0,1591696.2417753325,108.31427322966728,14.37434125778297,1694.297731136449
kbang_00025,857500.0,1592500.0,108.31438025845017,14.38159638085708,1664.914328108954
kbang_00026,857500.0,1593500.0,108.3145135023231,14.390622872894902,1653.856972610064
kbang_00027,857500.0,1594500.0,108.31464683874461,14.399649356845904,1743.2382352863053
kbang_00028,857500.0,1595500.0,108.31478026773235,14.40867583270526,2108.6606152919126
kbang_00029,857500.0,1596500.0,108.31491378930397,14.41770230046815,2515.045333371411
kbang_00030,857500.0,1597357.8490724512,108.31502840445172,14.425445641010509,2894.681987246984
kbang_00031,857911.2134953552,1598533.2509742165,108.31899428857741,14.436001716789043,2886.3824212809172
kbang_00032,858949.3649876566,1575902.841853647,108.32559438184805,14.231594569032428,10640.181720347158
kbang_00033,858684.5023268242,1576631.4751126599,108.32323969312432,14.238205737459367,9925.134269200273
kbang_00034,858537.7976138302,1577665.5862864158,108.3220187548468,14.247559083344832,8904.813633264619
kbang_00035,858594.310646957,1578518.172809859,108.3226545178812,14.255247683826903,8050.555218536563
kbang_00036,858680.7645887211,1579650.6447063684,108.32360455187278,14.265458787898575,6914.894669890795
kbang_00037,858735.8093334127,1580335.561290699,108.32420474500671,14.271634071036251,6227.814063169494
kbang_00038,858722.9507220397,1581500.0,108.32424011123491,14.282146522070509,5070.919783123246
kbang_00039,858500.0,1582582.0685304152,108.32232000680489,14.291942637271362,4036.764776140324
kbang_00040,858500.0,1583500.0,108.322441808215,14.300228334085721,3142.842067079464
kbang_00041,858500.0,1584500.0,108.32257458822443,14.309254813738068,2189.4781837019054
kbang_00042,858500.0,1585500.0,108.32270746088108,14.318281285340518,1269.9445842194177
kbang_00043,858500.0,1586500.0,108.32284042620252,14.327307748888233,626.1061365294801
kbang_00044,858500.0,1587500.0,108.32297348420634,14.336334204376385,836.0889873947841
kbang_00045,858500.0,1588500.0,108.32310663491013,14.345360651800142,652.0532384705261
kbang_00046,858500.0,1589500.0,108.32323987833148,14.354387091154672,622.829242592352
kbang_00047,858500.0,1590500.0,108.32337321448802,14.363413522435142,994.7319789384233
kbang_00048,858500.0,1591500.0,108.32350664339737,14.372439945636723,676.6941050615687
kbang_00049,858500.0,1592500.0,108.32364016507717,14.381466360754587,742.7070486887895
kbang_00050,858500.0,1593500.0,108.32377377954509,14.3904927677839,755.5841985307144
kbang_00051,858500.0,1594500.0,108.32390748681883,14.39951916671983,759.1492260859397
kbang_00052,858500.0,1595500.0,108.32404128691604,14.408545557557554,1339.1680087408881
kbang_00053,858500.0,1596500.0,108.32417517985442,14.417571940292241,1599.6825590214034
kbang_00054,858500.0,1597500.0,108.3243091656517,14.426598314919064,1718.0910311263638
kbang_00055,858500.0,1598368.3524659364,108.32442558788954,14.434436383003932,2914.5270826493706
kbang_00056,858708.3803179247,1599596.878545973,108.32652053898839,14.445498234814066,3630.8247940682886
kbang_00057,858790.9988215301,1600714.18970577,108.32743594305701,14.455572633194363,4395.34996375977
kbang_00058,858965.9696410191,1601022.4320820821,108.32909814058944,14.458331994681815,4487.83559699538
kbang_00059,859500.0,1575902.841853647,108.33068978205594,14.231523510845916,10635.819327377396
kbang_00060,859500.0,1576500.0,108.33076886033963,14.23691373325354,10038.763248144787
kbang_00061,859500.0,1577500.0,108.33090135877782,14.245940183979808,9038.96436834525
kbang_00062,859500.0,1578500.0,108.33103394999709,14.254966626683526,8039.215518452508
kbang_00063,859500.0,1579500.0,108.331166634015,14.263993061359843,7039.53801410577
kbang_00064,859500.0,1580500.0,108.33129941084907,14.273019488003927,6039.9672807021725
kbang_00065,859500.0,1581500.0,108.33143228051681,14.282045906610938,5040.566838349174
kbang_00066,859500.0,1582500.0,108.3315652430358,14.29107231717603,4041.463021206301
kbang_00067,859500.0,1583500.0,108.3316982984236,14.300098719694368,3042.948019879825
kbang_00068,859500.0,1584500.0,108.33183144669779,14.309125114161114,2045.8841491157636
kbang_00069,859500.0,1585500.0,108.33196468787598,14.318151500571433,1054.3961549226717
kbang_00070,859500.0,1586500.0,108.33209802197577,14.327177878920477,194.577880110505
kbang_00071,859500.0,1587500.0,108.33223144901478,14.33620424920342,3.0379969967445972
kbang_00072,859500.0,1588500.0,108.33236496901065,14.345230611415419,75.69120060660673
kbang_00073,859500.0,1589500.0,108.33249858198104,14.354256965551636,54.85615786950089
kbang_00074,859500.0,1590500.0,108.33263228794362,14.363283311607235,73.55359940989447
kbang_00075,859500.0,1591500.0,108.33276608691607,14.372309649577387,121.4659484149668
kbang_00076,859500.0,1592500.0,108.33289997891605,14.381335979457251,201.93250698973355
kbang_00077,859500.0,1593500.0,108.33303396396131,14.390362301241996,169.48008819930874
kbang_00078,859500.0,1594500.0,108.33316804206956,14.399388614926783,54.06677980258947
kbang_00079,859500.0,1595500.0,108.33330221325853,14.40841492050678,168.13806049874364
kbang_00080,859500.0,1596500.0,108.33343647754596,14.417441217977155,306.0133122477749
kbang_00081,859500.0,1597500.0,108.33357083494964,14.426467507333072,1590.2327855939714
kbang_00082,859500.0,1598500.0,108.33370528548734,14.435493788569707,2329.341414303871
kbang_00083,859500.0,1599500.0,108.33383982917684,14.444520061682214,3004.506499091036
kbang_00084,859500.0,1600500.0,108.33397446603594,14.45354632666577,3741.1541740489583
kbang_00085,859591.6498448154,1601310.092955956,108.33493255860316,14.460846397935505,4187.499517092114
kbang_00086,859926.4590629772,1602154.464870865,108.3381478561576,14.468423883206611,4585.66642259719
kbang_00087,860834.1013503621,1574621.8252067824,108.3428648606303,14.219787993442841,10094.49054071656
kbang_00088,860644.5541006709,1575272.7058044123,108.34119735590258,14.225687624625257,10247.528391505202
kbang_00089,860500.0,1576500.0,108.34002268711635,14.236784357574916,10107.365826237254
kbang_00090,860500.0,1577500.0,108.34015555200585,14.245810722925423,9115.094801772568
kbang_00091,860500.0,1578500.0,108.34028850993288,14.254837080246858,8124.71922870039
kbang_00092,860500.0,1579500.0,108.34042156091496,14.263863429534373,7137.028222245338
kbang_00093,860500.0,1580500.0,108.34055470496972,14.27288977078313,6153.314647004412
kbang_00094,860500.0,1581500.0,108.3406879421147,14.281916103988278,5175.846833606228
kbang_00095,860500.0,1582500.0,108.34082127236753,14.290942429144977,4208.978468092251
kbang_00096,860500.0,1583500.0,108.34095469574581,14.299968746248378,3262.1479188989542
kbang_00097,860500.0,1584500.0,108.34108821226718,14.308995055293643,2359.601310537304
kbang_00098,860500.0,1585500.0,108.34122182194929,14.318021356275924,1579.185753672425
kbang_00099,860500.0,1586500.0,108.3413555248098,14.327047649190382,975.3600287055848
kbang_00100,860500.0,1587500.0,108.34148932086636,14.336073934032175,860.3009661620799
kbang_00101,860500.0,1588500.0,108.34162321013667,14.345100210796458,1100.279480385601
kbang_00102,860500.0,1589500.0,108.34175719263844,14.354126479478388,977.827027233183
kbang_00103,860500.0,1590500.0,108.34189126838938,14.363152740073128,1164.1952242519562
kbang_00104,860500.0,1591500.0,108.3420254374072,14.37217899257584,1126.9647345242033
kbang_00105,860500.0,1592500.0,108.34215969970968,14.381205236981685,1132.9330968935794
