system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m
00000000000000000403,0,559,0.7510473126460979,15,70,"{""type"":""Point"",""coordinates"":[108.56725390170602,14.133642503719964]}",108.56725390170602,14.133642503719964,487.67674871454483
00000000000000000233,0,885,0.6420792645320963,17,66,"{""type"":""Point"",""coordinates"":[108.53491204176538,14.358131487154644]}",108.53491204176538,14.358131487154644,42.560078754625785
0000000000000000009c,0,705,0.5138932792154468,18,61,"{""type"":""Point"",""coordinates"":[108.52089708715441,14.05872514692102]}",108.52089708715441,14.05872514692102,758.9432622007035
000000000000000004a1,0,977,0.6886678742446786,20,40,"{""type"":""Point"",""coordinates"":[108.44517263306479,14.439786545645344]}",108.44517263306479,14.439786545645344,1608.1433011782733
00000000000000000577,0,903,0.0072074871671375,20,64,"{""type"":""Point"",""coordinates"":[108.44004912595437,14.360824784190923]}",108.44004912595437,14.360824784190923,1244.5170302361112
0000000000000000011a,0,748,0.2108410968744617,21,53,"{""type"":""Point"",""coordinates"":[108.60282415080935,14.29938283077549]}",108.60282415080935,14.29938283077549,1056.3635614480133
000000000000000004d8,0,916,0.2950640617702126,21,73,"{""type"":""Point"",""coordinates"":[108.51146608842637,14.056566942011154]}",108.51146608842637,14.056566942011154,873.0669981137411
00000000000000000113,0,1000,0.0543795946877438,23,31,"{""type"":""Point"",""coordinates"":[108.48182198462307,14.129063006938077]}",108.48182198462307,14.129063006938077,2179.059494774303
00000000000000000524,0,678,0.7085111257067921,26,34,"{""type"":""Point"",""coordinates"":[108.49529738800656,14.273778672526612]}",108.49529738800656,14.273778672526612,654.5144861190786
00000000000000000596,0,1275,0.2955399943863284,29,93,"{""type"":""Point"",""coordinates"":[108.32443801294168,14.268120073289785]}",108.32443801294168,14.268120073289785,6612.523361608574
000000000000000004df,0,785,0.4220306486236187,32,73,"{""type"":""Point"",""coordinates"":[108.4769704826769,14.168138109469421]}",108.4769704826769,14.168138109469421,1968.2409310261216
0000000000000000052b,0,756,0.7517420130157252,36,99,"{""type"":""Point"",""coordinates"":[108.49125298335109,14.13849400566611]}",108.49125298335109,14.13849400566611,1008.801562092371
0000000000000000053c,0,914,0.4728291123698709,37,63,"{""type"":""Point"",""coordinates"":[108.48208953068627,14.053873644974873]}",108.48208953068627,14.053873644974873,2366.041926766647
000000000000000004c1,0,822,0.405728151987781,38,77,"{""type"":""Point"",""coordinates"":[108.42899947354395,14.278902179637019]}",108.42899947354395,14.278902179637019,1370.2566440263408
00000000000000000484,0,510,0.5385552736761023,1,44,"{""type"":""Point"",""coordinates"":[108.51200563965384,14.22688676584857]}",108.51200563965384,14.22688676584857,219.68611056846936
0000000000000000048f,0,769,0.4906939969215396,3,45,"{""type"":""Point"",""coordinates"":[108.51173809359062,14.340076586989245]}",108.51173809359062,14.340076586989245,278.4440790882858
000000000000000001d5,0,535,0.486530074592034,5,45,"{""type"":""Point"",""coordinates"":[108.49718358775219,14.282402573963973]}",108.49718358775219,14.282402573963973,168.65587978465408
00000000000000000493,0,1216,0.2370705969985251,5,45,"{""type"":""Point"",""coordinates"":[108.39692961876754,14.540847611920642]}",108.39692961876754,14.540847611920642,3744.4536301109356
00000000000000000216,0,1102,0.2330613100713159,6,45,"{""type"":""Point"",""coordinates"":[108.42819237625326,14.506352006171179]}",108.42819237625326,14.506352006171179,132.81138330972095
000000000000000003ac,0,879,0.230524705568872,6,45,"{""type"":""Point"",""coordinates"":[108.5324862907923,14.384542742694203]}",108.5324862907923,14.384542742694203,6.662350394144477
0000000000000000007c,0,959,0.7436813999870658,10,45,"{""type"":""Point"",""coordinates"":[108.46457418174832,14.412028641587646]}",108.46457418174832,14.412028641587646,127.85050792381917
0000000000000000002d,0,784,0.4137283588619586,11,45,"{""type"":""Point"",""coordinates"":[108.46268798200272,14.251144275579314]}",108.46268798200272,14.251144275579314,669.476310070954
0000000000000000010a,0,702,0.0601054501157806,11,45,"{""type"":""Point"",""coordinates"":[108.60282415080935,14.295877977347486]}",108.60282415080935,14.295877977347486,141.6011468766839
00000000000000000146,0,582,0.2854828886136791,11,45,"{""type"":""Point"",""coordinates"":[108.49071343212363,14.15142985782216]}",108.49071343212363,14.15142985782216,192.40493460007096
000000000000000001ee,0,668,0.6891537247776195,14,45,"{""type"":""Point"",""coordinates"":[108.53787734396592,14.128791001773816]}",108.53787734396592,14.128791001773816,1487.84085935699
0000000000000000041a,0,582,0.2154841576306408,15,45,"{""type"":""Point"",""coordinates"":[108.47804958513184,14.293991777601876]}",108.47804958513184,14.293991777601876,146.7640078298737
000000000000000005ba,0,556,0.5582635603497297,15,45,"{""type"":""Point"",""coordinates"":[108.52763478884617,14.163019061460068]}",108.52763478884617,14.163019061460068,398.33796047651055
00000000000000000201,0,647,0.3257978288855014,29,45,"{""type"":""Point"",""coordinates"":[108.48532683805107,14.298843279548027]}",108.48532683805107,14.298843279548027,573.6730105465072
0000000000000000031c,0,1009,0.3443700239925152,36,45,"{""type"":""Point"",""coordinates"":[108.44463308183731,14.440058550809605]}",108.44463308183731,14.440058550809605,1612.1155624588491
00000000000000000117,0,583,0.7572982726115153,9,47,"{""type"":""Point"",""coordinates"":[108.49745113381537,14.136068254693038]}",108.49745113381537,14.136068254693038,355.45199302598655
00000000000000000221,0,1012,0.344693254766674,22,47,"{""type"":""Point"",""coordinates"":[108.40879082756973,14.400711443113998]}",108.40879082756973,14.400711443113998,1042.0526805424577
0000000000000000064d,0,619,0.2862905357282341,27,47,"{""type"":""Point"",""coordinates"":[108.50688659164447,14.288333178365056]}",108.50688659164447,14.288333178365056,826.8744132431403
00000000000000000271,0,724,0.3980074349423769,4,49,"{""type"":""Point"",""coordinates"":[108.4715794295033,14.196975115982058]}",108.4715794295033,14.196975115982058,76.26152254879962
000000000000000003d9,0,889,0.2180462878484859,7,49,"{""type"":""Point"",""coordinates"":[108.48182198462307,14.341690781570591]}",108.48182198462307,14.341690781570591,24.00399495734249
000000000000000003c3,0,581,0.089370969692737,13,49,"{""type"":""Point"",""coordinates"":[108.55323894709505,14.082438646323247]}",108.55323894709505,14.082438646323247,203.1992564453244
000000000000000002c3,0,777,0.0510966894013383,16,49,"{""type"":""Point"",""coordinates"":[108.4696932297577,14.236857315804079]}",108.4696932297577,14.236857315804079,18.082878378861327
00000000000000000466,0,603,0.0416200890234137,3,51,"{""type"":""Point"",""coordinates"":[108.5190108874088,14.248178973378776]}",108.5190108874088,14.248178973378776,795.2681731572152
0000000000000000054b,0,658,0.337932508912233,5,51,"{""type"":""Point"",""coordinates"":[108.52736724278296,14.23955507194141]}",108.52736724278296,14.23955507194141,1319.4080132135489
00000000000000000115,0,499,0.4199685538911556,3,52,"{""type"":""Point"",""coordinates"":[108.5564717953588,14.188618760607898]}",108.5564717953588,14.188618760607898,507.0440892286651
00000000000000000606,0,876,0.1465012190764795,5,52,"{""type"":""Point"",""coordinates"":[108.54892699637637,14.440865648100278]}",108.54892699637637,14.440865648100278,53.229742099641236
000000000000000003df,0,612,0.3845715872342506,21,52,"{""type"":""Point"",""coordinates"":[108.50418883550714,14.245213671178234]}",108.50418883550714,14.245213671178234,623.7036201642412
0000000000000000030f,0,613,0.3487828654168764,30,52,"{""type"":""Point"",""coordinates"":[108.49017833999721,14.169484757987565]}",108.49017833999721,14.169484757987565,557.0698454636063
0000000000000000027d,0,672,0.439750285313189,1,54,"{""type"":""Point"",""coordinates"":[108.54084264616648,14.273778672526612]}",108.54084264616648,14.273778672526612,44.96145460889307
0000000000000000009b,0,718,0.0503734260034782,3,54,"{""type"":""Point"",""coordinates"":[108.52251574083681,14.274590228918335]}",108.52251574083681,14.274590228918335,29.298343820521524
00000000000000000008,0,526,0.3642911544218108,6,54,"{""type"":""Point"",""coordinates"":[108.5009559872434,14.255723772361202]}",108.5009559872434,14.255723772361202,211.13255974475194
000000000000000004a6,0,609,0.5421003758609244,11,54,"{""type"":""Point"",""coordinates"":[108.57048674996977,14.213950913692528]}",108.57048674996977,14.213950913692528,178.66421260015073
000000000000000001c5,0,571,0.1269936564556709,4,55,"{""type"":""Point"",""coordinates"":[108.52979299375602,14.1511578526579]}",108.52979299375602,14.1511578526579,871.4319379171413
00000000000000000042,0,517,0.3728755928346953,5,55,"{""type"":""Point"",""coordinates"":[108.52979299375603,14.198321764500196]}",108.52979299375603,14.198321764500196,710.6962477537164
000000000000000002b3,0,653,0.4305846133782289,1,56,"{""type"":""Point"",""coordinates"":[108.48020333094065,14.217995318348002]}",108.48020333094065,14.217995318348002,181.3562454738506
00000000000000000167,0,1003,0.7469234708448828,3,56,"{""type"":""Point"",""coordinates"":[108.43681627769064,14.455687700001933]}",108.43681627769064,14.455687700001933,2113.219863507632
000000000000000005e5,0,494,0.2087375570273514,4,56,"{""type"":""Point"",""coordinates"":[108.53599114422032,14.199940418182598]}",108.53599114422032,14.199940418182598,1152.7695792730779
00000000000000000269,0,1132,0.3515723356671381,7,56,"{""type"":""Point"",""coordinates"":[108.4389744826005,14.507431108626118]}",108.4389744826005,14.507431108626118,767.0901904194985
00000000000000000246,0,473,0.5057172638235554,8,56,"{""type"":""Point"",""coordinates"":[108.56806099899671,14.178648210652396]}",108.56806099899671,14.178648210652396,669.1141133620264
00000000000000000446,0,929,0.7303989431690716,6,58,"{""type"":""Point"",""coordinates"":[108.42091512333404,14.390740893158494]}",108.42091512333404,14.390740893158494,441.7738251689618
