Scenario,Model,AUC,AP,Precision,Recall,F1,Capture@5%,Capture@10%,Threshold(F1-train),N_test,N_pos_test
Split (provided),Baseline,0.5038142981691369,0.5586478756514561,0.4926829268292683,0.48870967741935484,0.49068825910931174,0.07741935483870968,0.12903225806451613,0.5,1212,620
Split (provided),LogReg,0.8172024847428074,0.8154311845561975,0.7154696132596685,0.8354838709677419,0.7708333333333334,0.08870967741935484,0.17903225806451614,0.42186599920879875,1212,620
Split (provided),RF,0.8614401700087183,0.841306920236369,0.7821939586645469,0.7935483870967742,0.7878302642113691,0.08709677419354839,0.17580645161290323,0.5256622406450235,1212,620
Area transfer (KBang->MangYang),Baseline,0.37597500000000006,0.4155321232043798,0.4948559670781893,0.962,0.6535326086956522,0.028,0.059,0.29099387669120463,2000,1000
Area transfer (KBang->MangYang),LogReg,0.588516,0.581806333553098,0.5052051439069197,0.825,0.6266616027345233,0.062,0.135,0.34795311493383063,2000,1000
Area transfer (KBang->MangYang),RF,0.534585,0.5329244786928583,0.5151291512915129,0.698,0.5927813163481953,0.059,0.111,0.5302484720004185,2000,1000
