district,n_samples,n_train,n_test,pos_rate_label_std,treecover2000_mean,treecover2000_std,treecover2000_median,mean_elevation_m_mean,mean_elevation_m_std,mean_elevation_m_median,mean_slope_deg_mean,mean_slope_deg_std,mean_slope_deg_median,rain_last12m_total_mm_mean,rain_last12m_total_mm_std,rain_last12m_total_mm_median,rain_mean_annual_2000_2024_mm_mean,rain_mean_annual_2000_2024_mm_std,rain_mean_annual_2000_2024_mm_median,loss_first_year_mean,loss_first_year_std,loss_first_year_median
KBang,4000.0,3200.0,800.0,0.5,84.4255,16.94980158271545,90.0,880.69325,217.5895308957359,861.0,13.6430355513475,8.314327679245526,12.0284275,3230.4389438229277,258.71050373879984,3179.5106303691864,2640.5597669801405,194.51269608558857,2607.9216171444064,891.6745,1002.0015335907038,0.0
MangYang,2000.0,1588.0,412.0,0.5,65.348,28.372070477700333,72.0,783.7785,150.44067813117647,774.0,11.652485071205,7.29700401057646,10.487785500000001,2996.8350467741034,259.9943369934679,2937.22317269368,2520.7173076119275,214.015606598264,2491.310220139485,1957.1855,344.3430530137421,2021.0
