Scenario,Model,AUC,AP,Precision,Recall,F1,Capture@5%,Capture@10%,Threshold(F1-train),N_test,N_pos_test
"Split (provided), label=Hansen loss_any",Baseline,0.5629482645855736,0.619687100863139,0.5793581960104076,0.9737609329446064,0.7264817835780315,0.06705539358600583,0.12244897959183673,0.33741227521675804,1212,686
"Split (provided), label=Hansen loss_any",LogReg,0.7875683135829019,0.8534328472156116,0.662883087400681,0.8513119533527697,0.7453733248245055,0.08746355685131195,0.17638483965014579,0.33331870564301397,1212,686
"Split (provided), label=Hansen loss_any",RF,0.8922114201465485,0.9120600382423901,0.8063186813186813,0.8556851311953353,0.8302687411598303,0.08600583090379009,0.1749271137026239,0.5261232074384964,1212,686
"Area transfer KBang->MangYang, label=Hansen loss_any",Baseline,0.8689304610997337,0.963662252565131,0.8987194412107101,0.9334945586457074,0.9157769869513642,0.05985489721886336,0.11729141475211609,0.358481029205187,2000,1654
"Area transfer KBang->MangYang, label=Hansen loss_any",LogReg,0.06632021863270685,0.6465449135801922,0.7711006076975017,0.6904474002418379,0.7285486443381181,0.005441354292623942,0.010278113663845224,0.4349668607355839,2000,1654
"Area transfer KBang->MangYang, label=Hansen loss_any",RF,0.4092653298012875,0.8065107911354934,0.8045454545454546,0.3210399032648126,0.4589455488331893,0.049576783555018135,0.1003627569528416,0.5559102180477014,2000,1654
"Area transfer MangYang->KBang, label=Hansen loss_any",Baseline,0.5732147558111316,0.5006455828338252,0.420890146642655,0.9808153477218226,0.589018901890189,0.07673860911270983,0.1432853717026379,0.33741227521675804,4000,1668
"Area transfer MangYang->KBang, label=Hansen loss_any",LogReg,0.29067355035354225,0.30731875284896903,0.41647827179100727,0.9940047961630696,0.5870065498318287,0.024580335731414868,0.049760191846522785,0.18231181457226237,4000,1668
"Area transfer MangYang->KBang, label=Hansen loss_any",RF,0.4284038463911547,0.3681276269203958,0.417,1.0,0.5885673959068455,0.03836930455635491,0.07673860911270983,0.5025150052732958,4000,1668
