system:index,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label,rand,slope,.geo
00000000000000000586,2163.5,975.5,508.5,791.5,488.0,3731.0,0.5854669,0.76866555,816,1,0.20462268302472642,7.6170073,"{""type"":""Point"",""coordinates"":[108.40136642431574,13.972352359515774]}"
00000000000000000527,2838.5,2005.0,650.0,827.5,935.0,1958.5,-0.011732055,0.35372385,817,1,0.37389609151656156,3.825611,"{""type"":""Point"",""coordinates"":[108.31701360968769,14.169890536183422]}"
0000000000000000056b,3558.0,2127.0,994.0,1268.0,1457.0,3456.0,0.23804407,0.4068797,817,1,0.5480618245520786,14.741828,"{""type"":""Point"",""coordinates"":[108.36013311687452,14.107369480313062]}"
00000000000000000574,2526.0,1670.0,512.0,768.0,936.0,2491.0,0.19730835,0.45374963,817,1,0.4854470749445433,26.782572,"{""type"":""Point"",""coordinates"":[108.33614761230804,13.898509646070712]}"
00000000000000000400,2682.5,1475.0,503.5,791.0,708.5,3257.5,0.3766508,0.64271307,818,1,0.6217469188460751,23.59537,"{""type"":""Point"",""coordinates"":[108.2218831478135,14.068022372617454]}"
000000000000000004a0,2651.5,1680.0,490.0,699.0,717.5,2602.5,0.21541156,0.5677711,818,1,0.6838051237896092,10.322573,"{""type"":""Point"",""coordinates"":[108.28413665762064,14.18740588512136]}"
000000000000000005f5,2684.0,1507.0,465.0,710.0,617.0,3098.0,0.34549403,0.6678331,818,1,0.19350843934541107,19.340063,"{""type"":""Point"",""coordinates"":[108.33372186133495,14.167197239147146]}"
0000000000000000040a,2821.0,1885.0,685.5,933.5,1027.0,2949.5,0.22018823,0.48346537,819,1,0.05004007122877452,27.4441,"{""type"":""Point"",""coordinates"":[108.38169287046793,14.066675724099316]}"
00000000000000000324,2358.5,1453.0,481.0,641.0,679.0,2380.5,0.241946,0.5561366,820,1,0.5562639957332769,17.615004,"{""type"":""Point"",""coordinates"":[108.29949826074976,14.16611813669221]}"
000000000000000004fb,2808.0,1908.5,569.0,759.0,792.5,2836.5,0.19557428,0.5632406,820,1,0.47868879690275445,9.246117,"{""type"":""Point"",""coordinates"":[108.28413665762064,14.186598787830688]}"
000000000000000004fe,2094.0,941.0,489.5,772.5,476.5,3869.0,0.6087318,0.7806927,820,1,0.7749599955280398,8.2891,"{""type"":""Point"",""coordinates"":[108.40136642431574,13.972080354351514]}"
0000000000000000062e,3078.5,2044.0,687.0,937.0,1046.0,2830.0,0.16126385,0.46026832,824,1,0.7008396769416044,14.173591,"{""type"":""Point"",""coordinates"":[108.29545385609428,13.930311954783885]}"
000000000000000005fa,3451.0,2339.5,695.0,895.5,1091.5,2605.5,0.05379171,0.40952122,825,1,0.19870127531165016,26.144522,"{""type"":""Point"",""coordinates"":[108.29545385609428,13.9340843542751]}"
000000000000000003b0,2219.0,1744.0,516.0,641.0,842.0,1850.0,0.0294936,0.3744428,826,1,0.5557966594877034,15.67105,"{""type"":""Point"",""coordinates"":[108.34073156819099,13.897430543615776]}"
0000000000000000041c,2848.5,1777.5,514.0,718.0,810.5,2477.5,0.16451234,0.50699514,826,1,0.23943661592314758,12.494594,"{""type"":""Point"",""coordinates"":[108.28386911155745,14.187138339058151]}"
00000000000000000585,2680.0,1708.0,546.0,827.5,875.0,3261.5,0.3126069,0.576937,826,1,0.26807040201518295,15.8522835,"{""type"":""Point"",""coordinates"":[108.35286032305635,13.910638400936085]}"
000000000000000003c6,2805.5,1746.0,562.0,751.5,769.0,2512.0,0.17989667,0.53124046,827,1,0.5619868271696251,21.316772,"{""type"":""Point"",""coordinates"":[108.27093325940139,14.107369480313062]}"
0000000000000000046d,2020.0,947.0,422.0,636.0,432.0,3119.0,0.53418595,0.75668824,829,1,0.0463176407462349,4.2430897,"{""type"":""Point"",""coordinates"":[108.22215515297775,14.073948517917483]}"
0000000000000000038f,2250.0,1535.0,575.0,808.0,784.0,2544.0,0.24736455,0.52884614,830,1,0.5150675968840052,6.720005,"{""type"":""Point"",""coordinates"":[108.32698861874425,13.90362869408007]}"
000000000000000004a6,2782.0,2086.5,652.0,990.0,1304.0,2601.5,0.10985495,0.33222377,831,1,0.5881625249960498,17.685904,"{""type"":""Point"",""coordinates"":[108.33372186133495,14.171776735929033]}"
00000000000000000622,3369.5,2376.0,642.5,986.5,1288.0,2603.0,0.045591485,0.33795938,831,1,0.18962806688223366,16.726866,"{""type"":""Point"",""coordinates"":[108.33372186133495,14.171509189865827]}"
0000000000000000032d,2379.5,1602.0,562.0,736.0,784.5,2335.0,0.18618238,0.4970348,832,1,0.7407863239524226,8.75611,"{""type"":""Point"",""coordinates"":[108.32671661358,13.903900699244327]}"
00000000000000000389,2829.0,2050.0,817.5,1026.5,1113.5,2144.0,0.02241297,0.31634688,832,1,0.3312200386764559,5.990036,"{""type"":""Point"",""coordinates"":[108.3445039676822,14.141865086062516]}"
000000000000000005d1,1697.0,766.0,335.0,679.0,333.0,3159.0,0.60968155,0.80927837,832,1,0.30929654298742937,23.830803,"{""type"":""Point"",""coordinates"":[108.28764151104866,13.940550050802598]}"
0000000000000000060b,2328.0,1526.0,479.0,736.0,751.5,2136.5,0.16668943,0.47957063,832,1,0.09965124095267985,24.272009,"{""type"":""Point"",""coordinates"":[108.39813357605198,14.095780276675153]}"
0000000000000000038c,2735.0,1754.0,548.0,876.0,929.0,2664.0,0.20597555,0.4828834,835,1,0.08139247621738854,9.930308,"{""type"":""Point"",""coordinates"":[108.38735146970477,13.980976260953138]}"
00000000000000000466,2243.0,1239.0,426.0,575.0,592.0,2459.0,0.32990807,0.6119305,835,1,0.4758038973665779,15.871476,"{""type"":""Point"",""coordinates"":[108.28629486253053,14.16665768791968]}"
000000000000000005b4,2325.5,1676.0,501.0,682.0,780.5,2331.5,0.1635683,0.49839333,835,1,0.7343501319776967,10.551927,"{""type"":""Point"",""coordinates"":[108.32483041383439,13.905514893825671]}"
0000000000000000060c,2250.0,1836.0,569.0,732.0,880.0,2003.0,0.04350091,0.3895248,835,1,0.19385638337485545,11.123662,"{""type"":""Point"",""coordinates"":[108.32698861874425,13.903900699244325]}"
00000000000000000623,2872.0,1882.0,621.0,876.0,1029.0,2680.0,0.17492329,0.44513345,835,1,0.02883774547303386,15.221856,"{""type"":""Point"",""coordinates"":[108.38546526995914,13.98016470456141]}"
00000000000000000373,2570.0,1944.0,488.0,666.0,765.0,1862.0,-0.02154493,0.4175866,836,1,0.689413447166639,2.7802885,"{""type"":""Point"",""coordinates"":[108.32887481848987,14.159380435000456]}"
00000000000000000487,2454.0,1557.0,511.0,798.0,886.0,2776.0,0.28132933,0.51611143,836,1,0.30995304275985536,6.907934,"{""type"":""Point"",""coordinates"":[108.34558307013714,13.930039949619626]}"
000000000000000003c3,2589.5,1634.0,567.0,789.5,703.5,2894.5,0.27834824,0.6089494,837,1,0.15466441440732348,27.384548,"{""type"":""Point"",""coordinates"":[108.41052987698056,13.99552630769053]}"
0000000000000000042d,3002.5,2059.0,676.0,907.0,959.0,2751.0,0.14386694,0.48301888,837,1,0.3186214496901423,21.860794,"{""type"":""Point"",""coordinates"":[108.3919354255877,14.072873874563605]}"
0000000000000000044e,2546.0,1861.0,500.0,711.0,910.0,2231.0,0.090420336,0.4205667,837,1,0.7561971519978733,20.061365,"{""type"":""Point"",""coordinates"":[108.33534051501736,13.898509646070712]}"
0000000000000000050e,2373.0,1597.5,535.5,810.5,844.5,2753.0,0.26560166,0.5305073,837,1,0.7198051687264957,26.610117,"{""type"":""Point"",""coordinates"":[108.3822324216954,14.066136172871847]}"
0000000000000000031b,2233.0,1725.0,592.0,679.0,845.0,2122.0,0.1031973,0.4304011,838,1,0.10728327761714063,8.435231,"{""type"":""Point"",""coordinates"":[108.32483041383439,13.90605444505314]}"
00000000000000000562,2592.0,1789.0,694.5,861.0,995.0,2258.5,0.11599753,0.388351,838,1,0.4874892795466981,9.376824,"{""type"":""Point"",""coordinates"":[108.3445039676822,14.141593080898259]}"
0000000000000000039c,1762.5,891.5,382.0,527.0,452.5,2850.5,0.52351683,0.7260067,839,1,0.031732586236164484,20.010729,"{""type"":""Point"",""coordinates"":[108.33561252018163,13.90794064479875]}"
0000000000000000043a,2063.0,1130.0,441.0,673.0,541.0,3361.0,0.4967713,0.7227063,840,1,0.10294535649877135,6.6287155,"{""type"":""Point"",""coordinates"":[108.34585061620032,13.92977240355642]}"
000000000000000004c1,1569.0,678.0,428.0,591.0,393.0,3154.0,0.6461378,0.7784043,841,1,0.5617765956792905,10.436108,"{""type"":""Point"",""coordinates"":[108.35663272254757,13.945401552748747]}"
000000000000000004db,2422.0,1709.0,466.0,671.0,758.0,2377.0,0.16348507,0.51642746,841,1,0.12198216554392893,11.0095,"{""type"":""Point"",""coordinates"":[108.34585061620032,13.930039949619626]}"
