system:index,defo,district,elevation,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo
000000000000000002d1_0,0,KBang,519,0,0,1,14.145499253421079,108.53248629079232,1,2003,518,6.737178,3335.206618718803,2843.7770705979806,0.6195928145759285,6,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d9_0,0,KBang,538,0,0,0,14.15062276053149,108.50041643601593,0,0,537,2.6627855,2927.8332602009177,2497.137565198986,0.37532538469052623,6,train,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000261_0,0,KBang,975,0,0,0,14.39720658968599,108.43493007794503,0,0,976,2.8702855,3307.1987401247025,2646.067406310553,0.400956839102798,7,train,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000345_0,0,KBang,746,0,0,1,14.293724231538672,108.58180394844344,1,2001,737,21.30282,3002.574410483241,2569.066161002828,0.6414244266806735,7,train,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f2_0,0,KBang,735,0,0,0,14.457306353684338,108.33494811412467,0,0,737,13.64907,3459.4536567032337,2743.57232635276,0.5356759559041193,7,train,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000361_0,0,KBang,472,0,0,0,14.119360003045779,108.58665545038957,0,0,471,3.8255582,2848.0301147326827,2458.056594692424,0.07617941827580355,8,train,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000482_0,0,KBang,849,0,0,0,14.360017686900251,108.59123494717147,0,0,849,6.6715174,3001.057534530759,2400.0190920016626,0.7855749017754674,8,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,0,KBang,655,0,0,0,14.154395160022702,108.66022615867037,0,0,651,14.348331,2859.5566610470414,2490.159314288234,0.4177086395235492,9,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_0,0,KBang,519,0,0,0,14.181341507688677,108.53545159299286,0,0,519,6.7372622,2927.8332602009177,2497.137565198986,0.6131760408613921,9,train,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023e_0,0,KBang,563,0,0,0,14.141459307866656,108.55781844387694,0,0,558,6.722222,2848.0301147326827,2458.056594692424,0.4271854673099651,9,train,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257_0,0,KBang,756,0,0,0,14.283749222482115,108.61710665148355,0,0,756,9.93321,2920.2753743231297,2494.9070353260336,0.4184371507044381,9,train,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000386_0,0,KBang,849,0,0,0,14.4300880008541,108.56482815073296,0,0,856,14.975716,3010.9200901687145,2435.0759028388934,0.33330604013475407,10,train,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000040f_0,0,KBang,806,0,0,1,14.281863022736507,108.47966823881426,1,2015,801,8.742621,3299.3934005498886,2718.926994363391,0.06738055249807962,11,train,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000340_0,0,KBang,537,0,1,0,14.14388505883973,108.52628814032803,1,2023,534,5.547545,3335.206618718803,2843.7770705979806,0.24127747740997607,12,train,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000455_0,0,KBang,623,0,0,0,14.046324386891385,108.49421828555164,0,0,623,12.660711,3190.6124956309795,2728.4823353968372,0.7649979092118655,13,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b3_0,0,KBang,978,0,0,0,14.0695027941672,108.47346562924889,0,0,977,11.885508,3222.151947184233,2767.6180477493767,0.06722662523495448,13,train,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0,KBang,666,0,0,0,14.225000566102965,108.5564717953588,0,0,666,14.135278,2988.904823511839,2527.354326276477,0.6296326301587121,14,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,0,KBang,855,0,0,0,14.190504960353508,108.38857772249445,0,0,861,16.995012,3400.7785373441875,2807.31930743629,0.38924024344426544,14,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a6_0,0,KBang,897,0,0,0,14.361364335418392,108.32605220752305,0,0,893,11.294259,3714.876072347164,2911.4369120395304,0.32781027848474265,14,train,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000403_0,0,KBang,559,0,0,0,14.133642503719964,108.56725390170602,0,0,569,18.896076,2848.0301147326827,2458.056594692424,0.7510473126460979,15,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000233_0,0,KBang,885,0,0,0,14.358131487154644,108.53491204176538,0,0,893,8.552477,3057.4028005301952,2452.323266195249,0.6420792645320963,17,train,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_0,0,KBang,705,0,0,0,14.05872514692102,108.52089708715441,0,0,714,24.615393,3250.9848297685385,2783.4902848679035,0.5138932792154468,18,train,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a1_0,0,KBang,977,0,0,0,14.439786545645344,108.44517263306479,0,0,985,28.10792,3056.5912619680166,2430.7695342178336,0.6886678742446786,20,train,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000577_0,0,KBang,903,0,0,0,14.360824784190923,108.44004912595437,0,0,903,19.820555,3307.1987401247025,2646.067406310553,0.007207487167137594,20,train,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a_0,0,KBang,748,0,0,1,14.29938283077549,108.60282415080935,1,2016,748,21.085367,2920.2753743231297,2494.9070353260336,0.21084109687446173,21,train,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
