system:index,B11,B12,B2,B3,B4,B8,NBR,NDVI,district,elev,label,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo
0000000000000000027a_0,2947.5,2016.0,708.0,947.0,1051.5,2905.5,0.18073758,0.46853676,MangYang,600,0,0,0,1,13.796909028567947,108.34746926988272,1,2018,600,2.6606815,2623.3507197850586,2256.703699868847,0.40038831400197594,2.6606815,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030b_0,1707.5,936.5,362.5,542.5,560.0,2588.5,0.4686525,0.64427507,MangYang,600,0,0,0,0,13.797720584959672,108.30623596244153,0,0,597,1.9093934,2623.3507197850586,2256.703699868847,0.028988519850068784,4.852853,train,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_0,3116.0,2201.0,676.0,922.0,938.0,2690.0,0.09997956,0.4829107,MangYang,601,0,0,0,1,13.793136629076733,108.34908346446409,1,2018,601,14.289366,2623.3507197850586,2256.703699868847,0.22575940472328793,14.289366,train,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fc_0,2502.0,2023.0,682.0,859.0,915.0,2186.0,0.03872654,0.4098678,MangYang,601,0,0,0,1,13.762685427982749,108.32563751112505,1,2017,601,1.8543341,2623.3507197850586,2256.703699868847,0.1431853933888937,1.8543341,train,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,3381.0,2345.0,658.0,912.0,1047.0,2823.0,0.09249226,0.45891473,MangYang,605,0,0,0,1,13.79178998055859,108.34935546962835,1,2018,605,2.6606507,2623.3507197850586,2256.703699868847,0.7147946177925286,2.6606507,train,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016d_0,1976.0,1602.5,686.0,1013.0,1152.5,1897.5,0.084285714,0.2442623,MangYang,605,0,0,0,1,13.862127840575646,108.22916040073272,1,2008,605,4.1656933,2909.244924926781,2455.9372502304473,0.5787875016258657,4.1656933,train,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,3336.0,2475.0,912.0,1233.0,1429.0,2913.0,0.08129176,0.34177798,MangYang,607,0,0,0,1,13.814156831442673,108.34369687039151,1,2016,607,2.122525,2897.990235873274,2491.310220139485,0.4894922926879528,2.122525,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000312_0,2855.0,2157.0,632.5,876.0,1079.5,2262.0,0.023761032,0.353883,MangYang,608,0,0,0,1,13.96911505215097,108.2566507587272,1,2008,608,4.724184,2830.9538914197656,2390.6103292524813,0.037502169367211624,4.724184,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb_0,2170.0,1611.0,435.0,663.0,1146.0,1843.0,0.067168504,0.23318836,MangYang,609,0,0,0,1,13.828978883344329,108.25637875356294,1,2005,609,6.7950377,2696.8537884503603,2278.8320351414154,0.25635583584928334,6.7950377,train,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022d_0,2935.0,1646.5,593.0,823.0,886.0,2718.0,0.2455035,0.5083241,MangYang,609,0,0,0,1,13.813889285379467,108.34962301569155,1,2014,609,5.8631215,2897.990235873274,2491.310220139485,0.012853036433826848,5.8631215,train,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
