system:index,defo,district,elevation,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
0000000000000000006a_0,0.0,KBang,655.0,0,0,0,14.154395160022702,108.66022615867035,0,0,651,14.348331,2859.5566610470414,2490.159314288234,0.4177086395235492,9.0,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000000c0_0,0.0,KBang,519.0,0,0,0,14.181341507688677,108.53545159299286,0,0,519,6.7372622,2927.8332602009177,2497.137565198986,0.6131760408613921,9.0,train,66,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000023e_0,0.0,KBang,563.0,0,0,0,14.141459307866656,108.55781844387694,0,0,558,6.722222,2848.0301147326827,2458.056594692424,0.4271854673099651,9.0,train,33,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000257_0,0.0,KBang,756.0,0,0,0,14.283749222482117,108.61710665148355,0,0,756,9.93321,2920.2753743231297,2494.9070353260336,0.4184371507044381,9.0,train,60,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000386_0,0.0,KBang,849.0,0,0,0,14.4300880008541,108.56482815073296,0,0,856,14.975716,3010.9200901687145,2435.0759028388934,0.333306040134754,10.0,train,37,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000040f_0,0.0,KBang,806.0,0,0,1,14.281863022736507,108.47966823881426,1,2015,801,8.742621,3299.3934005498886,2718.926994363391,0.0673805524980796,11.0,train,48,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000340_0,0.0,KBang,537.0,0,1,0,14.14388505883973,108.52628814032803,1,2023,534,5.547545,3335.206618718803,2843.7770705979806,0.241277477409976,12.0,train,64,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000455_0,0.0,KBang,623.0,0,0,0,14.046324386891383,108.49421828555164,0,0,623,12.660711,3190.6124956309795,2728.482335396837,0.7649979092118655,13.0,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000004b3_0,0.0,KBang,978.0,0,0,0,14.0695027941672,108.47346562924888,0,0,977,11.885508,3222.151947184233,2767.6180477493767,0.0672266252349544,13.0,train,31,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000047_0,0.0,KBang,666.0,0,0,0,14.225000566102963,108.5564717953588,0,0,666,14.135278,2988.904823511839,2527.354326276477,0.6296326301587121,14.0,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000053_0,0.0,KBang,855.0,0,0,0,14.190504960353508,108.38857772249445,0,0,861,16.995012,3400.7785373441875,2807.31930743629,0.3892402434442654,14.0,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000001a6_0,0.0,KBang,897.0,0,0,0,14.361364335418392,108.32605220752303,0,0,893,11.294259,3714.876072347164,2911.4369120395304,0.3278102784847426,14.0,train,43,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000403_0,0.0,KBang,559.0,0,0,0,14.133642503719964,108.56725390170602,0,0,569,18.896076,2848.0301147326827,2458.056594692424,0.7510473126460979,15.0,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000233_0,0.0,KBang,885.0,0,0,0,14.358131487154644,108.53491204176538,0,0,893,8.552477,3057.4028005301952,2452.323266195249,0.6420792645320963,17.0,train,66,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000009c_0,0.0,KBang,705.0,0,0,0,14.05872514692102,108.5208970871544,0,0,714,24.615393,3250.9848297685385,2783.4902848679035,0.5138932792154468,18.0,train,61,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000004a1_0,0.0,KBang,977.0,0,0,0,14.439786545645344,108.4451726330648,0,0,985,28.10792,3056.5912619680166,2430.7695342178336,0.6886678742446786,20.0,train,40,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000577_0,0.0,KBang,903.0,0,0,0,14.360824784190925,108.44004912595436,0,0,903,19.820555,3307.1987401247025,2646.067406310553,0.0072074871671375,20.0,train,64,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000011a_0,0.0,KBang,748.0,0,0,1,14.29938283077549,108.60282415080935,1,2016,748,21.085367,2920.2753743231297,2494.9070353260336,0.2108410968744617,21.0,train,53,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000004d8_0,0.0,KBang,916.0,0,0,0,14.056566942011154,108.51146608842636,0,0,916,20.71937,3250.9848297685385,2783.4902848679035,0.2950640617702126,21.0,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000113_0,0.0,KBang,1000.0,0,0,1,14.129063006938074,108.48182198462308,1,2002,1010,16.418154,3364.3139811381698,2879.1407314955827,0.0543795946877438,23.0,train,31,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000524_0,0.0,KBang,678.0,0,0,0,14.273778672526612,108.49529738800656,0,0,678,26.0341,3299.3934005498886,2718.926994363391,0.7085111257067921,26.0,train,34,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000596_0,0.0,KBang,1275.0,0,0,0,14.268120073289785,108.32443801294168,0,0,1266,27.559458,3418.022238861769,2701.695657495224,0.2955399943863284,29.0,train,93,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000004df_0,0.0,KBang,785.0,0,0,0,14.16813810946942,108.4769704826769,0,0,792,32.736584,3179.5106303691864,2674.302724357361,0.4220306486236187,32.0,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000052b_0,0.0,KBang,756.0,0,0,0,14.13849400566611,108.49125298335107,0,0,776,32.632233,3364.3139811381698,2879.1407314955827,0.7517420130157252,36.0,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000053c_0,0.0,KBang,914.0,0,0,0,14.053873644974871,108.48208953068628,0,0,922,31.167597,3222.151947184233,2767.6180477493767,0.4728291123698709,37.0,train,63,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000004c1_0,0.0,KBang,822.0,0,0,0,14.27890217963702,108.42899947354395,0,0,836,33.57051,3954.77065885067,3193.707802749039,0.405728151987781,38.0,train,77,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000484_0,0.0,KBang,510.0,0,0,0,14.22688676584857,108.51200563965384,0,0,510,0.9567483,3132.6109425723557,2663.5936415282367,0.5385552736761023,1.0,train,44,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000048f_0,0.0,KBang,769.0,0,0,0,14.34007658698924,108.51173809359062,0,0,771,6.724104,3361.179399266839,2766.2203726602984,0.4906939969215396,3.0,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
